Keyword	Occurrence
Heirat	2
marriage	2
Genitalbeschneidung	2
Genital cutting	2
h\"ausliche Gewalt	2
domestic violence	2
Freunde	2
friends	2
Geschichte	2
history	2
Geschwister	2
siblings	2
Beschwerdemanagement	2
complaint management	2
Kindergarten	1
nursery	1
Privilegien	1
privilege	1
kritische P\"adagogik	1
critical pedagogy	1
Selbstorganisation	1
self-organization	1
Privatsph\"are	1
privacy	1
Geflohene	1
refugees	1
Schwangerschaftsabbruch	1
abortion	1
Geheimnis	1
secrets	1
Slut-shaming	1
Jugendorganisationen	1
youth-serving organisations	1
Konflikte	1
conflicts	1
Gangs	1
gangs	1
